Estacao	Data	Hora	Precipitacao	TempMaxima	TempMinima	Insolacao	Evaporacao Piche	Temp Comp Media	Umidade Relativa Media	Velocidade do Vento Media
83565	28/08/1971	0	sv	30.6	sv	10.4	10.3	21.18	63.5	1
83565	28/08/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	29/08/1971	0	sv	31	sv	10.6	11.1	21.76	65	1.333.333
83565	29/08/1971	1200	0	sv	13.7	sv	sv	sv	sv	sv
83565	30/08/1971	0	sv	30.8	sv	10.5	11.4	22.02	64	1.333.333
83565	30/08/1971	1200	0	sv	15	sv	sv	sv	sv	sv
83565	31/08/1971	0	sv	31.5	sv	10.7	10.2	22	68.5	0.666667
83565	31/08/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	01/09/1971	0	sv	31.1	sv	10.3	10.9	22.58	63.75	1.333.333
83565	01/09/1971	1200	0	sv	15.3	sv	sv	sv	sv	sv
83565	02/09/1971	0	sv	31.9	sv	9.1	10.3	23.04	61.75	1
83565	02/09/1971	1200	0	sv	16.2	sv	sv	sv	sv	sv
83565	03/09/1971	0	sv	31.2	sv	9.4	8.5	21.68	66.75	1.666.667
83565	03/09/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	04/09/1971	0	sv	32.5	sv	8.1	8	22.62	58.5	0
83565	04/09/1971	1200	0	sv	12.7	sv	sv	sv	sv	sv
83565	05/09/1971	0	sv	33.5	sv	0	9.1	25.52	48.5	0.666667
83565	05/09/1971	1200	0	sv	14.9	sv	sv	sv	sv	sv
83565	06/09/1971	0	sv	28.9	sv	1	9.1	23.7	75.5	2
83565	06/09/1971	1200	0	sv	19.7	sv	sv	sv	sv	sv
83565	07/09/1971	0	sv	27.9	sv	3.6	4.4	21.32	82.5	1
83565	07/09/1971	1200	12	sv	16.4	sv	sv	sv	sv	sv
83565	08/09/1971	0	sv	19.9	sv	0	3.4	18.06	87.75	2
83565	08/09/1971	1200	7.2	sv	16.8	sv	sv	sv	sv	sv
83565	09/09/1971	0	sv	25.9	sv	7.4	1.9	19.52	79.25	1.666.667
83565	09/09/1971	1200	0.4	sv	14.9	sv	sv	sv	sv	sv
83565	10/09/1971	0	sv	32.1	sv	10.1	4.1	22.94	72	0.666667
83565	10/09/1971	1200	0	sv	14.3	sv	sv	sv	sv	sv
83565	11/09/1971	0	sv	31.2	sv	4.4	5.7	23.36	77.75	0.333333
83565	11/09/1971	1200	2.4	sv	17.9	sv	sv	sv	sv	sv
83565	12/09/1971	0	sv	27.4	sv	2	4.9	21.86	84.5	1
83565	12/09/1971	1200	9	sv	18.2	sv	sv	sv	sv	sv
83565	13/09/1971	0	sv	31	sv	10	3.1	23.2	70.25	1.666.667
83565	13/09/1971	1200	0	sv	16.9	sv	sv	sv	sv	sv
83565	14/09/1971	0	sv	29.6	sv	7.5	5.5	23.08	73.5	1.333.333
83565	14/09/1971	1200	0	sv	17.3	sv	sv	sv	sv	sv
83565	15/09/1971	0	sv	30.9	sv	10.8	5.4	23.02	64.25	2
83565	15/09/1971	1200	0	sv	15.8	sv	sv	sv	sv	sv
83565	16/09/1971	0	sv	31	sv	10.6	9.5	23.26	61	0.666667
83565	16/09/1971	1200	0	sv	15.5	sv	sv	sv	sv	sv
83565	17/09/1971	0	sv	31.8	sv	10.8	10	23.4	53.75	2
83565	17/09/1971	1200	0	sv	14.5	sv	sv	sv	sv	sv
83565	18/09/1971	0	sv	33	sv	8.7	11.1	23.36	53.25	2
83565	18/09/1971	1200	0	sv	11.3	sv	sv	sv	sv	sv
83565	19/09/1971	0	sv	35.2	sv	9	10.5	25.3	49.25	1.333.333
83565	19/09/1971	1200	0	sv	13.5	sv	sv	sv	sv	sv
83565	20/09/1971	0	sv	36.4	sv	8.8	9.7	25.92	56	0.333333
83565	20/09/1971	1200	0	sv	15.4	sv	sv	sv	sv	sv
83565	21/09/1971	0	sv	36.7	sv	7.6	9.5	26.9	51.5	1
83565	21/09/1971	1200	0	sv	16.5	sv	sv	sv	sv	sv
83565	22/09/1971	0	sv	33.9	sv	0	10.9	25.98	59.25	2
83565	22/09/1971	1200	0	sv	19.5	sv	sv	sv	sv	sv
83565	23/09/1971	0	sv	34.1	sv	4.2	9.7	25.06	67	0.333333
83565	23/09/1971	1200	0	sv	16.3	sv	sv	sv	sv	sv
83565	24/09/1971	0	sv	29.5	sv	0.6	5.5	22.66	83.25	5.333.333
83565	24/09/1971	1200	0.8	sv	18.9	sv	sv	sv	sv	sv
83565	25/09/1971	0	sv	33.3	sv	8.4	5.5	24.96	65.25	1.333.333
83565	25/09/1971	1200	0	sv	17	sv	sv	sv	sv	sv
83565	26/09/1971	0	sv	32.2	sv	2.5	6.9	22.48	91	1.666.667
83565	26/09/1971	1200	0	sv	18.5	sv	sv	sv	sv	sv
83565	27/09/1971	0	sv	28.8	sv	1.5	2.3	22.84	75.5	0.333333
83565	27/09/1971	1200	10.4	sv	16.3	sv	sv	sv	sv	sv
83565	28/09/1971	0	sv	30.2	sv	3	3.6	22.9	83.75	0.333333
83565	28/09/1971	1200	2.8	sv	20	sv	sv	sv	sv	sv
83565	29/09/1971	0	sv	33.7	sv	9.8	2.5	25.52	67.5	0.333333
83565	29/09/1971	1200	0.6	sv	17.9	sv	sv	sv	sv	sv
83565	30/09/1971	0	sv	34.8	sv	6.9	5.8	24.22	74	2.333.333
83565	30/09/1971	1200	2.6	sv	20.4	sv	sv	sv	sv	sv
83565	01/10/1971	0	sv	29.9	sv	7.1	5.3	23.88	73.5	0.666667
83565	01/10/1971	1200	11.8	sv	17.9	sv	sv	sv	sv	sv
83565	02/10/1971	0	sv	31.2	sv	6.6	3.7	24.16	80.5	0
83565	02/10/1971	1200	0.4	sv	20.4	sv	sv	sv	sv	sv
83565	03/10/1971	0	sv	26.9	sv	0	4.6	22.8	81.25	0.333333
83565	03/10/1971	1200	6.2	sv	19	sv	sv	sv	sv	sv
83565	04/10/1971	0	sv	33	sv	9.2	2.6	23.9	78	1
83565	04/10/1971	1200	0	sv	18.8	sv	sv	sv	sv	sv
83565	05/10/1971	0	sv	31.5	sv	10.7	5.1	24.14	74.75	0.666667
83565	05/10/1971	1200	0	sv	18.3	sv	sv	sv	sv	sv
83565	06/10/1971	0	sv	32.1	sv	10.2	6.1	23.86	79.25	1.666.667
83565	06/10/1971	1200	0	sv	18.9	sv	sv	sv	sv	sv
83565	07/10/1971	0	sv	29.1	sv	4	4.6	23.3	82.25	2.333.333
83565	07/10/1971	1200	1.2	sv	19.2	sv	sv	sv	sv	sv
83565	08/10/1971	0	sv	31.7	sv	7.2	3.6	24.58	70.75	1.333.333
83565	08/10/1971	1200	11.6	sv	17.8	sv	sv	sv	sv	sv
83565	09/10/1971	0	sv	33.6	sv	10.1	5.1	25.86	67.25	0.666667
83565	09/10/1971	1200	0	sv	19.4	sv	sv	sv	sv	sv
83565	10/10/1971	0	sv	33.9	sv	5.5	6.2	24.6	77	1
83565	10/10/1971	1200	0	sv	19.8	sv	sv	sv	sv	sv
83565	11/10/1971	0	sv	23.7	sv	0	4.8	21.86	92.75	1.666.667
83565	11/10/1971	1200	0.6	sv	19.3	sv	sv	sv	sv	sv
83565	12/10/1971	0	sv	25.3	sv	2.6	1.2	20.64	80	2.333.333
83565	12/10/1971	1200	5.4	sv	17.5	sv	sv	sv	sv	sv
83565	13/10/1971	0	sv	27.3	sv	10.2	3.8	19.74	66	1.666.667
83565	13/10/1971	1200	0	sv	12.5	sv	sv	sv	sv	sv
83565	14/10/1971	0	sv	29.5	sv	11.6	6.2	21.54	57.5	3.666.667
83565	14/10/1971	1200	0	sv	13	sv	sv	sv	sv	sv
83565	15/10/1971	0	sv	33.8	sv	7.9	9.7	23.62	61.75	0.666667
83565	15/10/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	16/10/1971	0	sv	33.4	sv	7.5	8.4	23.64	71.75	3.666.667
83565	16/10/1971	1200	0	sv	17.4	sv	sv	sv	sv	sv
83565	17/10/1971	0	sv	33.3	sv	11.4	5.7	24.3	67.25	1.666.667
83565	17/10/1971	1200	12.6	sv	15.5	sv	sv	sv	sv	sv
83565	18/10/1971	0	sv	32.7	sv	11.2	6	24.5	66	1.333.333
83565	18/10/1971	1200	0	sv	15.9	sv	sv	sv	sv	sv
83565	19/10/1971	0	sv	34.2	sv	11.1	10.2	25.5	62	1.333.333
83565	19/10/1971	1200	0	sv	18.5	sv	sv	sv	sv	sv
83565	20/10/1971	0	sv	32.7	sv	6.3	9.6	24.88	71.5	1.333.333
83565	20/10/1971	1200	0	sv	18.8	sv	sv	sv	sv	sv
83565	21/10/1971	0	sv	29.3	sv	0.2	6.4	21.66	82.5	1.666.667
83565	21/10/1971	1200	2.2	sv	18.9	sv	sv	sv	sv	sv
83565	22/10/1971	0	sv	29.3	sv	2.1	3	21.68	83	2
83565	22/10/1971	1200	4.4	sv	17.3	sv	sv	sv	sv	sv
83565	23/10/1971	0	sv	31	sv	8.2	4	22.34	84.25	0.333333
83565	23/10/1971	1200	1.6	sv	14.5	sv	sv	sv	sv	sv
83565	24/10/1971	0	sv	32.8	sv	7.9	4.2	24.82	75.75	2.333.333
83565	24/10/1971	1200	0.4	sv	19	sv	sv	sv	sv	sv
83565	25/10/1971	0	sv	32.5	sv	8.8	5.6	25.54	71.25	2.666.667
83565	25/10/1971	1200	0	sv	18.8	sv	sv	sv	sv	sv
83565	26/10/1971	0	sv	33	sv	11.6	5.6	26.48	68	2
83565	26/10/1971	1200	0	sv	19.8	sv	sv	sv	sv	sv
83565	27/10/1971	0	sv	33	sv	8.1	8.9	26.5	65.25	1.333.333
83565	27/10/1971	1200	0	sv	19.7	sv	sv	sv	sv	sv
83565	28/10/1971	0	sv	33.6	sv	5.6	7	26.34	67.75	1.666.667
83565	28/10/1971	1200	0	sv	21.5	sv	sv	sv	sv	sv
83565	29/10/1971	0	sv	34	sv	7.7	6.5	26.5	67.5	1.666.667
83565	29/10/1971	1200	0	sv	20.3	sv	sv	sv	sv	sv
83565	30/10/1971	0	sv	31.8	sv	5	7.5	24.04	79.75	3
83565	30/10/1971	1200	0	sv	20.9	sv	sv	sv	sv	sv
83565	31/10/1971	0	sv	30.4	sv	3.1	4.7	23.48	89.25	1.333.333
83565	31/10/1971	1200	2.4	sv	19.9	sv	sv	sv	sv	sv
83565	01/11/1971	0	sv	26	sv	0.1	2.5	21.36	94.25	1.666.667
83565	01/11/1971	1200	34.2	sv	19.9	sv	sv	sv	sv	sv
83565	02/11/1971	0	sv	31	sv	9.2	0.3	23.58	69.25	1
83565	02/11/1971	1200	21.8	sv	17.3	sv	sv	sv	sv	sv
83565	03/11/1971	0	sv	29	sv	5.7	5.8	23.1	78.75	0.666667
83565	03/11/1971	1200	2.2	sv	16.9	sv	sv	sv	sv	sv
83565	04/11/1971	0	sv	31.8	sv	11.5	3.9	24.52	58.75	1.333.333
83565	04/11/1971	1200	0	sv	17.4	sv	sv	sv	sv	sv
83565	05/11/1971	0	sv	32.3	sv	11.7	7.5	23.84	67.5	1.333.333
83565	05/11/1971	1200	0	sv	14.9	sv	sv	sv	sv	sv
83565	06/11/1971	0	sv	31.7	sv	9	7.3	24.64	61.75	2
83565	06/11/1971	1200	0	sv	19	sv	sv	sv	sv	sv
83565	07/11/1971	0	sv	33	sv	11.5	8.9	25.9	57	1.666.667
83565	07/11/1971	1200	0	sv	18.8	sv	sv	sv	sv	sv
83565	08/11/1971	0	sv	33.1	sv	10.4	11.2	24.12	68.5	1.333.333
83565	08/11/1971	1200	0	sv	18.2	sv	sv	sv	sv	sv
83565	09/11/1971	0	sv	34.5	sv	8.7	6.2	26.26	63	1.666.667
83565	09/11/1971	1200	0.4	sv	19.8	sv	sv	sv	sv	sv
83565	10/11/1971	0	sv	34.7	sv	11.4	7	27.06	59	2
83565	10/11/1971	1200	0	sv	18.4	sv	sv	sv	sv	sv
83565	11/11/1971	0	sv	34.5	sv	7.2	6.8	27.12	64.75	1
83565	11/11/1971	1200	0	sv	19.5	sv	sv	sv	sv	sv
83565	12/11/1971	0	sv	26.9	sv	0	6.2	21.14	92.25	1.333.333
83565	12/11/1971	1200	2	sv	13.4	sv	sv	sv	sv	sv
83565	13/11/1971	0	sv	26.8	sv	4.8	0.1	22.28	89.75	1.666.667
83565	13/11/1971	1200	16.6	sv	18.3	sv	sv	sv	sv	sv
83565	14/11/1971	0	sv	30.3	sv	11.8	2.9	23.84	67.75	1.333.333
83565	14/11/1971	1200	0	sv	18.2	sv	sv	sv	sv	sv
83565	15/11/1971	0	sv	32.3	sv	12.2	6.7	23.86	57	1.333.333
83565	15/11/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	16/11/1971	0	sv	35.1	sv	12.4	10.3	26.32	61.5	1.333.333
83565	16/11/1971	1200	0	sv	17.3	sv	sv	sv	sv	sv
83565	17/11/1971	0	sv	33.8	sv	9.1	7.2	25.14	80.75	3.666.667
83565	17/11/1971	1200	0	sv	20.7	sv	sv	sv	sv	sv
83565	18/11/1971	0	sv	32.9	sv	7.6	4.3	25.76	76	2.333.333
