Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	23/02/1993	1800	31.1	25.3	61	sv	36	1	4
83513	24/02/1993	0	25.2	23.9	89	sv	0	0	0
83513	24/02/1993	1200	25.2	24.1	91	sv	36	2	2
83513	24/02/1993	1800	31.3	25.3	60	sv	32	1	2
83513	25/02/1993	0	25.6	24.1	88	sv	0	0	0
83513	25/02/1993	1200	25	24.1	92	sv	36	1	0
83513	25/02/1993	1800	32.5	26.5	61	sv	18	1	2
83513	26/02/1993	0	28.2	25.3	78	sv	0	0	0
83513	26/02/1993	1200	25.4	24.3	91	sv	0	0	0
83513	26/02/1993	1800	33.1	28.3	68	sv	0	0	4
83513	27/02/1993	0	27.2	25.5	87	sv	0	0	0
83513	27/02/1993	1200	26.6	24.5	83	sv	5	2	0
83513	27/02/1993	1800	32.1	27.3	68	sv	18	1	4
83513	28/02/1993	0	28.7	26.1	81	sv	0	0	0
83513	28/02/1993	1200	27.2	25.1	84	sv	36	1	0
83513	28/02/1993	1800	32.9	28.1	68	sv	36	1	6
83513	01/03/1993	0	28.2	26.3	85	sv	0	0	0
83513	01/03/1993	1200	27.2	25.3	85	sv	0	0	2
83513	01/03/1993	1800	32.1	27.5	69	sv	36	1	2
83513	02/03/1993	0	25.2	23.7	88	sv	9	5	6
83513	02/03/1993	1200	25.2	24.1	91	sv	0	0	2
83513	02/03/1993	1800	31.7	27.3	70	sv	36	1	8
83513	03/03/1993	0	23.3	22.7	95	sv	0	0	10
83513	03/03/1993	1200	25.4	24.1	89	sv	0	0	2
83513	03/03/1993	1800	32.3	28.3	73	sv	0	0	6
83513	04/03/1993	0	27.6	26.5	91	sv	0	0	2
83513	04/03/1993	1200	27	25.5	88	sv	18	2	10
83513	04/03/1993	1800	26.2	25.1	91	sv	32	2	10
83513	05/03/1993	0	28.9	27.7	91	sv	9	1	10
83513	05/03/1993	1200	24.8	23.9	92	sv	36	1	8
83513	05/03/1993	1800	31.5	27.7	74	sv	0	0	2
83513	06/03/1993	0	27.2	26.1	91	sv	0	0	0
83513	06/03/1993	1200	29.5	27.1	82	sv	36	1	0
83513	06/03/1993	1800	34.3	28.7	64	sv	36	1	8
83513	07/03/1993	0	27.4	26.5	93	sv	0	0	0
83513	07/03/1993	1200	29.3	27.3	85	sv	36	1	0
83513	07/03/1993	1800	34.3	29.1	67	sv	32	1	6
83513	08/03/1993	0	28.2	27.1	91	sv	0	0	0
83513	08/03/1993	1200	29.1	27.1	85	sv	32	1	0
83513	08/03/1993	1800	34.7	29.7	68	sv	36	1	8
83513	09/03/1993	0	26.6	25.9	94	sv	0	0	0
83513	09/03/1993	1200	29.9	27.9	85	sv	0	0	0
83513	09/03/1993	1800	32.5	28.7	74	sv	32	1	6
83513	10/03/1993	0	28.3	27.3	92	sv	0	0	0
83513	10/03/1993	1200	28.3	27.5	94	sv	0	0	0
83513	10/03/1993	1800	26.6	25.5	91	sv	27	3	8
83513	11/03/1993	0	25.6	25.1	96	sv	0	0	0
83513	11/03/1993	1200	28.3	26.5	86	sv	0	0	0
83513	11/03/1993	1800	35.7	30.5	68	sv	0	0	6
83513	12/03/1993	0	26.6	25.5	91	sv	0	0	0
83513	12/03/1993	1200	28.7	26.5	83	sv	0	0	0
83513	12/03/1993	1800	35.9	29.7	62	sv	5	1	2
83513	13/03/1993	0	28.9	27.7	91	sv	0	0	0
83513	13/03/1993	1200	29.3	28.1	91	sv	0	0	0
